名称,抓取率,评分,
A3型机械金刚,0.1%,86,
三眼乌鸦,15.9%,93,
下水道爬行者,0.1%,96,
下水道软泥怪,0.5%,48,
不稳定的传送门,22.4%,108,
不稳定的元素,0.1%,111,
丛林猎豹,3.9%,87,
中暑的匪徒,2.4%,108,
乌特加德鱼叉射手,1.5%,67,
乘龙法师,2.9%,60,
乱喷的骆驼,1.8%,29,
了不起的杰弗里斯,3.2%,257,
云雾王子,11.1%,87,
人偶大师多里安,0.2%,77,
任务达人,1.9%,126,
伊瑟拉,1.4%,100,
伞降教官,4.9%,88,
传送门大恶魔,5.1%,94,
传送门守护者,8.8%,96,
伪装机器人,6.7%,104,
作战傀儡,2.3%,85,
侏儒发明家,5.8%,97,
侏儒变形师,2.9%,126,
侏儒实验技师,0.8%,69,
元素盟军,1.8%,34,
光明之翼,0.9%,122,
全息术士,0.3%,67,
八爪巨怪,1.6%,191,
公会招募员,0.1%,105,
再生大盗,2%,73,
军情七处渗透者,2.9%,105,
冰冻粉碎者,0.1%,118,
冰刺,2.6%,114,
冰锥术,21.2%,106,
冰雹使者,23.6%,130,
冰霜元素,8.1%,97,
冰霜新星,11.3%,89,
冰风雪人,8.9%,107,
凛风巫师,0.2%,94,
凯尔萨斯·逐日者,0.4%,62,
凯恩·血蹄,1.1%,115,
凶恶的鳞皮兽,4.7%,83,
分裂腐树,0.7%,93,
创世之力,20.9%,159,
剃刀猎手,3.1%,90,
加亚莱，龙鹰之神,0.1%,58,
加兹鲁维,0.2%,64,
加基森拍卖师,0.7%,78,
化学怪人,0.3%,123,
卑劣的窃蛋者,0.2%,126,
南海船工,0.7%,73,
南海船长,0.2%,77,
南瓜农夫,5.6%,92,
卡利莫斯的仆从,0.1%,96,
卡塔图防御者,19.9%,108,
卡德加,2.5%,105,
卡雷苟斯,6.4%,110,
厄运信天翁,11.8%,82,
厄运鼹鼠,0.2%,88,
历史爱好者,4.3%,133,
双头暴虐龙,37.9%,170,
发条侏儒,9.9%,91,
发条巨人,0.7%,42,
发条机器人,6.3%,83,
发条骑士,0.1%,93,
受伤的托维尔人,11.8%,106,
受损的机械剑龙,7.8%,96,
变形术,52.2%,153,
变形药水,0.1%,79,
古怪的铭文师,42.5%,132,
古拉巴什狂暴者,3.8%,84,
古董收藏家,3.7%,82,
叫嚣的中士,2.4%,79,
可升级机器人,2.2%,95,
可靠的灯泡,0.6%,68,
吉尔尼斯皇家卫兵,8.2%,116,
吵吵机器人,12.3%,108,
吸血蚊,4.3%,86,
咒术师的召唤,48.6%,175,
咖啡师林彻,1.4%,132,
哈里森·琼斯,0.4%,80,
唤鸦者,10.6%,100,
喷灯破坏者,4.5%,122,
回收机器人,0.1%,49,
团队领袖,1.1%,79,
圣光勇士,0.1%,109,
圣光护卫者,0.2%,65,
地精工兵,1.8%,73,
地精滑翔技师,10.8%,104,
地精炎术师,7.6%,128,
地精炸弹,0.2%,22,
坑道爆破师,9.1%,86,
坩埚元素,2.8%,71,
基维斯,0.9%,76,
复活的铠甲,0.1%,98,
多彩龙卵,0.9%,33,
夜刃刺客,1.4%,79,
大厨诺米,0.1%,68,
大地之环先知,7%,99,
大检察官怀特迈恩,0.8%,127,
大法师,3.8%,89,
大法师安东尼达斯,3.6%,152,
大法师瓦格斯,1.5%,109,
大法师阿鲁高,1.4%,114,
大胖,0.5%,91,
夺日者战斗法师,7.3%,86,
夺日者间谍,16.4%,91,
夺烛木乃伊,17.9%,123,
奇利亚斯,2.8%,154,
奔逃的魔刃豹,12.8%,105,
奥妮克希亚,1%,122,
奥术仆从,17%,93,
奥术傀儡,0.1%,69,
奥术吐息,42.8%,153,
奥术吞噬者,0.5%,61,
奥术增幅体,47.8%,157,
奥术工匠,0.1%,84,
奥术智慧,36.1%,110,
奥术锁匠,6.6%,126,
奥术飞弹,16.9%,105,
奥秘守护者,0.7%,72,
奥能水母,11.3%,128,
女伯爵阿莎摩尔,1.1%,89,
女巫森林吹笛人,3.7%,83,
女巫森林灰熊,7.6%,122,
始祖龟朝圣者,3.8%,119,
孤胆英雄,0.1%,124,
学习龙语,8.2%,50,
实验体9号,0.1%,93,
寒光先知,0.1%,55,
寒冰护体,8.3%,85,
寒冰箭,45.1%,134,
对空奥术法师,11%,162,
小个子召唤师,1.7%,87,
小个子扰咒师,1.1%,69,
小个子法师,0.3%,87,
小个子驱魔者,1.2%,70,
小型法术红宝石,0.1%,87,
小精灵,0.1%,70,
小鬼召唤师,1.8%,83,
尤格-萨隆的谜之匣,8.7%,173,
尤格萨隆的仆从,0.1%,84,
尼斐塞特仪祭师,8.3%,121,
山岭巨人,0.4%,51,
岩浆暴怒者,0.4%,68,
工匠大师欧沃斯巴克,0.2%,102,
工匠镇技师,8.3%,97,
工程师学徒,4.5%,101,
巨型蟾蜍,0.2%,123,
巨魔蝙蝠骑士,29.1%,132,
巨鳞蠕虫,6.1%,105,
巫医,2.1%,95,
巫师学徒,26.3%,127,
巫毒娃娃,4.3%,142,
布林顿3000型,0.3%,54,
希亚玛特,3.2%,175,
帝王眼镜蛇,2.3%,104,
年轻的女祭司,1.7%,90,
年轻的酒仙,5.8%,87,
年迈的法师,0.6%,84,
年迈的酒仙,4.4%,94,
幻化师,4.3%,90,
幻术士,4.4%,87,
幼龙饲养员,10.7%,115,
幼龙鹰,0.1%,51,
废土刺客,11.6%,107,
废土巨蝎,8.9%,93,
弗瑞兹·光巢,1.5%,107,
弹簧火箭犬,14.9%,111,
强化机器人,1.9%,106,
强能雷象,2.7%,116,
强袭坦克,11.8%,109,
微型战斗机甲,9.9%,116,
微机操控者,9.4%,128,
急速冷冻,4.8%,66,
怨灵之书,6.8%,157,
怪盗布缆鼠,37.9%,110,
总督察,5.7%,89,
恐怖海盗,0.2%,69,
恐惧渡鸦,2.7%,101,
恐狼前锋,4.2%,104,
恶毒的银行家,1.1%,63,
恶毒铁匠,2.8%,86,
恶狼大法师,8.6%,100,
惊奇套牌,0.1%,28,
慷慨的木乃伊,1.3%,3,
憎恶,1.5%,96,
战争机兵,9%,104,
战利品贮藏者,7.9%,108,
托什雷,1.5%,118,
扰咒术,3.8%,90,
投弹机器人,2.7%,77,
报警机器人,0.1%,32,
拉文霍德刺客,0.9%,77,
招虫的地精,10.6%,94,
持枪恶霸,10.3%,108,
持盾卫士,0.1%,64,
捣蛋鬼,0.6%,78,
推土壮汉,52.8%,121,
摇摆的俾格米,0.1%,121,
攻城车,1%,76,
散财军士,18.6%,112,
斯尼德的伐木机,1.7%,87,
方阵指挥官,1.1%,88,
施法者克星X-21,4.1%,85,
旅行医者,28.7%,102,
旋翼机,26.2%,101,
旋翼滑翔者,1.2%,77,
无面召唤者,0.5%,124,
无面操纵者,1.5%,116,
无面暴怒者,26.6%,103,
无面潜伏者,7.2%,93,
无面腐蚀者,16.1%,149,
日怒保卫者,2.7%,112,
时光修补匠托奇,2.5%,100,
昆虫收藏家,13.1%,114,
明光祭司,1.7%,75,
星术师,13.9%,113,
星界使者塞雷西亚,0.1%,71,
星界密使,2.2%,105,
显眼的诱饵,0.3%,67,
晶化师,1.2%,90,
智慧秘典,19.1%,88,
暗夜徘徊者,1.3%,74,
暗金教侍从,0.1%,93,
暗金教水晶侍女,0.1%,74,
暗鳞治愈者,4.6%,91,
暮光幼龙,4.6%,105,
暴怒的双头巨人,16.7%,115,
暴怒的狼人,5.3%,83,
暴掠龙幼崽,0.1%,113,
暴走旋风,0.1%,77,
暴风城勇士,6.7%,93,
暴风城骑士,3.4%,87,
暴风雪,27.4%,139,
月亮巨人守护者,1.4%,137,
末日预言者,1%,64,
机械保险箱,18.3%,104,
机械克苏恩,0.1%,69,
机械幼龙技工,3%,86,
机械拷问者,4.2%,18,
机械推土牛,5.2%,96,
机械法医,0.2%,1,
机械袋鼠,12%,111,
机械跃迁者,14.4%,115,
机械雏龙,2.3%,142,
机械雪人,17.3%,111,
杂毛秘术师,13.1%,99,
格鲁尔,0.4%,82,
档案员艾丽西娜,1.4%,80,
梦魇融合怪,4%,127,
森金持盾卫士,7%,102,
榴弹投手,9.8%,129,
欢乐的发明家,1.4%,109,
欢快的同伴,8%,92,
欧米茄防御者,7.4%,115,
武装皮纳塔,8.9%,124,
死亡之翼,1.2%,122,
死神4000型,1.4%,106,
毒沼爬行者,0.3%,110,
毒物学家,0.1%,75,
毒鳍鱼人,1.8%,61,
比斯巨兽,0.1%,81,
气象学家,1.8%,98,
水元素,36.4%,116,
沙丘塑形师,13.5%,124,
沙漠野兔,0.5%,84,
没电的铁皮人,0.1%,82,
