名称,抓取率,评分,
A3型机械金刚,0.1%,86,
“太阳裂片”莱拉,0.1%,122,
下水道爬行者,0.1%,100,
下水道软泥怪,0.4%,47,
不眠之魂,13%,65,
不稳定的元素,0.1%,102,
丛林猎豹,3.8%,89,
丧钟机器人,12.8%,127,
中暑的匪徒,2.3%,108,
乌特加德鱼叉射手,1.2%,66,
乌达斯塔,0.1%,161,
乱喷的骆驼,2.2%,41,
了不起的杰弗里斯,3.4%,242,
二流打手,0.1%,124,
亡灵药剂师,0.2%,118,
亡者卡特琳娜,1.3%,107,
人偶大师多里安,0.2%,71,
人气选手,0.1%,116,
任务达人,1%,111,
伊瑟拉,1.8%,95,
伊莉斯·逐星,0.1%,96,
伞降教官,4%,86,
传送门大恶魔,4.5%,95,
传送门守护者,8.2%,98,
伪装机器人,6.5%,109,
低阶侍从,0.1%,71,
作战傀儡,1.5%,84,
侏儒发明家,5.6%,93,
侏儒变形师,2.9%,125,
侏儒实验技师,0.6%,69,
先知维伦,0.9%,100,
光明之泉,0.3%,35,
光明之翼,1.2%,121,
光照元素,0.5%,127,
光耀之子,19.6%,96,
克隆大师泽里克,1.4%,96,
克隆装置,9.9%,98,
全息术士,0.3%,69,
八爪巨怪,1.5%,181,
再生大盗,2.6%,82,
再生暴徒,0.3%,97,
军情七处渗透者,3.2%,104,
冰冻粉碎者,0.1%,126,
冰吼,0.1%,116,
冰喉,0.1%,161,
冰川裂片,0.3%,110,
冰雹使者,17.2%,123,
冰霜元素,5.8%,91,
冰风雪人,8.7%,107,
凯尔萨斯·逐日者,0.4%,61,
凯恩·血蹄,1.3%,116,
凶恶的鳞皮兽,4.5%,80,
分裂腐树,0.7%,91,
利齿宝箱,0.1%,98,
剃刀猎手,3%,90,
剑龙,0.2%,93,
功夫大师,0.1%,78,
加兹鲁维,0.1%,63,
加基森名媛,0.1%,91,
加基森拍卖师,0.3%,72,
勇敢的记者,0.3%,117,
化学怪人,0.3%,129,
北郡牧师,23.3%,155,
午夜噩龙,0.1%,116,
卑劣的回收者,12.1%,101,
卑劣的窃蛋者,0.3%,134,
南海船工,0.3%,71,
南海船长,0.1%,80,
南瓜农夫,5.5%,88,
南瓜娃娃,27.7%,113,
卡利莫斯的仆从,0.1%,93,
卡塔图防御者,17.7%,101,
卡扎库斯,0.1%,176,
厄运信天翁,13.5%,82,
厄运鼹鼠,0.1%,89,
历史爱好者,4.4%,133,
双头暴虐龙,42.8%,159,
发条侏儒,7.7%,89,
发条巨人,0.6%,40,
发条机器人,4.5%,77,
受伤的托维尔人,17.3%,110,
受损的机械剑龙,10.3%,100,
变幻之影,0.3%,116,
变色龙卡米洛斯,1.6%,94,
古怪的铭文师,40%,134,
古拉巴什狂暴者,2.7%,81,
叫嚣的中士,1.6%,73,
可升级机器人,1.9%,97,
可靠的灯泡,0.4%,67,
吉尔尼斯皇家卫兵,7.9%,116,
后院保镖,0.1%,102,
吵吵机器人,10.4%,105,
吸血蚊,3%,81,
吹箭鱼人,0.2%,106,
咖啡师林彻,1.5%,123,
哀嚎的灵魂,0.1%,88,
哈里森·琼斯,0.4%,80,
唤鸦者,10%,94,
喧哗的诗人,0.1%,106,
喷灯破坏者,5%,122,
回收机器人,0.1%,46,
团队领袖,0.4%,74,
圣光护卫者,2.1%,79,
圣光炸弹,12.6%,154,
圣光闪耀,0.3%,27,
圣殿执行者,37.6%,130,
圣水,20.1%,119,
地精工兵,1.7%,72,
地精滑翔技师,9.1%,82,
地精炸弹,0.1%,26,
场馆保镖,0.1%,90,
坑道爆破师,7.3%,80,
坩埚元素,1.2%,66,
埋葬,1.2%,133,
基维斯,0.7%,73,
墓地符文,41.8%,177,
墓地蹒跚者,0.1%,94,
墓穴蜘蛛,0.3%,120,
增生手臂,21%,124,
多彩龙卵,0.8%,71,
夜刃刺客,0.3%,78,
夜鳞龙后,16.9%,92,
大厨诺米,0.1%,66,
大地之环先知,6.5%,99,
大检察官怀特迈恩,1%,126,
大法师,2%,83,
大法师瓦格斯,1.1%,99,
大胖,0.5%,85,
夺心者卡什,4.5%,202,
夺日者战斗法师,6.1%,71,
夺日者间谍,11.2%,94,
夺烛木乃伊,18.5%,130,
奇利亚斯,2.1%,157,
奔逃的魔刃豹,12.9%,107,
奥妮克希亚,1.2%,115,
奥术仆从,15.8%,94,
奥术傀儡,0.1%,62,
奥秘吞噬者,0.1%,57,
奥秘守护者,0.1%,55,
奥能水母,11.7%,122,
奥金尼灵魂祭司,7.6%,143,
女伯爵阿莎摩尔,1.1%,87,
女巫森林吹笛人,3.7%,80,
女巫森林灰熊,7.7%,122,
始祖龟执盾者,0.6%,109,
始祖龟预言者,0.1%,116,
孤胆英雄,0.2%,128,
宝石甲虫,0.3%,87,
实验体,0.3%,67,
寒光先知,0.1%,54,
小个子召唤师,1.4%,90,
小个子法师,0.2%,76,
小个子驱魔者,1.3%,68,
小型法术钻石,0.1%,102,
小精灵,0.1%,68,
小鬼召唤师,2.2%,85,
尼斐塞特仪祭师,9.6%,123,
