名称,抓取率,评分,
上古之神的小精灵,0.1%,119,
下水道爬行者,0.1%,102,
下水道软泥怪,0.4%,45,
不稳定的元素,0.1%,97,
不虚此行,28.2%,141,
丛林之魂,21.2%,95,
丛林守护者,9%,102,
丛林猎豹,5.2%,86,
中暑的匪徒,2.7%,109,
乌特加德鱼叉射手,1.3%,65,
乌达斯塔,0.1%,158,
乘风而起,43.7%,147,
乱喷的骆驼,1.8%,30,
了不起的杰弗里斯,3.1%,248,
二流打手,0.1%,121,
亡灵药剂师,0.2%,120,
人偶大师多里安,0.2%,83,
人多势众,9.1%,68,
任务达人,1.9%,118,
伊瑟拉,1.3%,96,
伞降教官,5%,83,
传送门大恶魔,4.7%,94,
传送门守护者,8.5%,96,
伪装机器人,6.1%,104,
作战傀儡,1%,84,
侏儒发明家,6.3%,96,
侏儒变形师,2.9%,125,
侏儒实验技师,0.9%,68,
保护甲板,3.5%,112,
倔强的蜗牛,0.2%,138,
光明之翼,1.1%,117,
全息术士,0.3%,67,
八爪巨怪,1.8%,187,
公会招募员,0.1%,87,
再生大盗,5.3%,89,
军情七处渗透者,4.7%,102,
冰川裂片,0.2%,127,
冰雹使者,21.7%,123,
冰霜元素,8.1%,91,
冰风雪人,10.5%,104,
凯尔萨斯·逐日者,0.4%,61,
凯恩·血蹄,1%,114,
凶恶的鳞皮兽,5.8%,88,
凶猛咆哮,10.7%,81,
分裂腐树,0.8%,93,
利爪德鲁伊,32%,119,
剃刀猎手,4.5%,87,
加兹鲁维,0.1%,65,
加基森名媛,0.1%,86,
加基森拍卖师,0.4%,78,
勇敢的记者,0.1%,110,
化学怪人,0.2%,122,
卑劣的窃蛋者,0.2%,134,
南海船工,1%,72,
南海船长,0.2%,76,
南瓜农夫,6%,96,
卡塔图防御者,16.3%,112,
卢森巴克,1.1%,92,
厄运信天翁,12.7%,82,
厄运鼹鼠,0.2%,96,
历史爱好者,5.1%,129,
双头暴虐龙,34.4%,165,
发条侏儒,10.1%,89,
发条巨人,0.5%,42,
发条机器人,0.5%,64,
受伤的托维尔人,12.4%,113,
受损的机械剑龙,6.6%,99,
变形神龟,0.1%,126,
古怪的铭文师,44.5%,132,
古拉巴什狂暴者,2.5%,79,
叫嚣的中士,3.1%,76,
可升级机器人,2.1%,95,
可靠的灯泡,0.6%,68,
吉尔尼斯皇家卫兵,9.2%,117,
启迪者伊莉斯,2.2%,128,
吵吵机器人,12.5%,113,
吸血蚊,3.8%,88,
吹箭鱼人,0.1%,103,
咖啡师林彻,1.2%,116,
哈里森·琼斯,0.3%,79,
唤鸦者,11.6%,99,
喧哗的诗人,0.1%,99,
喷灯破坏者,4.8%,124,
回收,12.7%,133,
回收机器人,0.1%,50,
团队领袖,2.1%,76,
园艺侏儒,4%,63,
圣光护卫者,0.3%,69,
地精工兵,2.1%,73,
地精滑翔技师,12.3%,80,
地精炸弹,0.3%,22,
坑道爆破师,5.7%,87,
坩埚元素,1%,68,
埃隆巴克保护者,23.5%,107,
基维斯,1.2%,73,
塞纳留斯,3.7%,118,
墓穴蜘蛛,0.2%,122,
多彩龙卵,1%,80,
夜刃刺客,1.3%,76,
大厨诺米,0.1%,66,
大地之环先知,8.4%,100,
大地之鳞,0.1%,110,
大检察官怀特迈恩,1.1%,126,
大法师,2.8%,84,
大法师瓦格斯,2%,105,
大胖,0.7%,96,
天神唤梦者,0.1%,105,
失心农夫,0.1%,57,
失魂的守卫,3.8%,113,
夺日者战斗法师,3.7%,84,
夺日者间谍,8.8%,86,
夺烛木乃伊,20.5%,134,
奇利亚斯,2.4%,166,
奔逃的魔刃豹,13.9%,105,
奥妮克希亚,1.5%,118,
奥术仆从,13.6%,86,
奥术傀儡,0.1%,66,
奥术吞噬者,0.1%,58,
奥秘守护者,0.2%,59,
奥能水母,12.7%,126,
女伯爵阿莎摩尔,1.4%,88,
女巫森林吹笛人,3.7%,81,
女巫森林灰熊,7.7%,123,
女巫森林苹果,7.6%,65,
好斗的侏儒,0.1%,88,
始生幼龙,0.1%,161,
孤胆英雄,0.1%,124,
守卫梦境之路,31.8%,112,
守护者斯塔拉蒂斯,2.4%,183,
宝石甲虫,0.2%,93,
寒光先知,0.1%,54,
小个子召唤师,1.7%,84,
小个子法师,0.3%,78,
小个子驱魔者,1.4%,73,
小型法术玉石,0.2%,107,
小精灵,0.2%,69,
小鬼召唤师,2.8%,83,
尖牙德鲁伊,16.4%,86,
尼斐塞特仪祭师,9.7%,119,
屠龙者,0.2%,114,
山岭巨人,0.2%,49,
岩浆暴怒者,0.2%,63,
工匠大师欧沃斯巴克,0.2%,100,
工匠镇技师,8.4%,98,
工程师学徒,3.8%,99,
巨型乳齿象,0.1%,94,
巨型黄蜂,0.2%,119,
巨魔蝙蝠骑士,28.8%,131,
巨鳞蠕虫,6.1%,108,
巫医,2.3%,88,
巫术时刻,2.8%,47,
巫毒娃娃,0.8%,90,
布林顿3000型,0.3%,53,
希亚玛特,3.3%,170,
帝王眼镜蛇,3.1%,104,
年轻的女祭司,2.3%,100,
年轻的酒仙,2.8%,86,
年迈的法师,0.4%,70,
年迈的酒仙,2.4%,95,
幻化师,4.3%,89,
幻术士,3.2%,79,
幼龙饲养员,10.2%,117,
幼龙鹰,0.3%,49,
废土刺客,12.2%,107,
废土巨蝎,8.9%,92,
弗洛普的神奇黏液,0.4%,93,
弗瑞兹·光巢,1.6%,107,
弹簧火箭犬,13.8%,108,
强力巨树格鲁,2.6%,127,
强化机器人,2%,108,
强能雷象,2.6%,117,
强袭坦克,10.4%,108,
微型战斗机甲,9.4%,114,
微机操控者,9.3%,128,
怒鳍猎潮者,0.1%,120,
怪盗布缆鼠,39.8%,107,
总督察,5%,89,
恐怖海盗,0.1%,70,
恐惧渡鸦,3.1%,102,
恐狼前锋,9.1%,97,
恶毒的银行家,0.8%,62,
恶毒铁匠,2.9%,86,
恶狼大法师,7.4%,96,
愤怒,42.3%,130,
慷慨的木乃伊,1.1%,3,
憎恶,0.5%,95,
战争古树,6.1%,128,
战争机兵,7.3%,103,
战利品贮藏者,7.8%,106,
托什雷,1.4%,118,
托维尔塑石师,0.1%,93,
扭曲的狼人,0.1%,92,
投弹机器人,4.1%,78,
报警机器人,0.1%,36,
拉文霍德刺客,0.3%,75,
招虫的地精,11.6%,96,
持枪恶霸,10.5%,107,
持盾卫士,0.2%,70,
捣蛋鬼,0.6%,79,
掠食本能,0.1%,65,
推土壮汉,42.6%,117,
撕咬,7.5%,100,
攻城车,1%,78,
散财军士,15.5%,111,
斯尼德的伐木机,1.5%,86,
新月视界,0.1%,87,
方阵指挥官,1.8%,96,
施法者克星X-21,4%,88,
旅行医者,24.3%,106,
旋翼机,25.5%,99,
旋翼滑翔者,1.5%,73,
无面操纵者,1.7%,111,
无面暴怒者,22.2%,100,
无面潜伏者,7.3%,93,
无面腐蚀者,16.2%,146,
日怒保卫者,3.8%,113,
昆虫收藏家,14.5%,113,
明光祭司,0.6%,72,
星火术,41.9%,131,
星界使者塞雷西亚,0.1%,87,
星辰坠落,24.8%,151,
显眼的诱饵,0.3%,65,
晶化师,1.3%,93,
晶歌传送门,8.8%,102,
晶角雄鹿,12.9%,95,
暗夜徘徊者,1.4%,76,
暗鳞先知,0.1%,46,
暗鳞治愈者,4.7%,92,
暮光守护者,0.1%,104,
暮光幼龙,5.2%,105,
暴怒的双头巨人,16.9%,118,
暴怒的狼人,4.8%,79,
暴掠龙幼崽,0.1%,119,
暴走旋风,0.2%,69,
暴风城勇士,8.6%,88,
暴风城骑士,4.5%,85,
月亮巨人守护者,1.5%,127,
月火术,3.2%,99,
末日预言者,0.6%,71,
机械保险箱,15.7%,109,
机械克苏恩,0.2%,68,
机械幼龙技工,2%,86,
机械拷问者,4.2%,18,
机械推土牛,4.6%,94,
机械法医,0.1%,19,
机械袋鼠,13.4%,118,
机械跃迁者,14.5%,114,
机械野兽,14%,121,
机械雏龙,2%,127,
机械雪人,19.3%,111,
杂毛秘术师,16.2%,99,
林地树妖,4.1%,87,
树木学家,2.6%,119,
树木援军,33.2%,100,
树皮术,0.1%,103,
格鲁尔,0.3%,79,
档案员艾丽西娜,1.5%,78,
梦境吐息,5.4%,82,
梦境花栽种师,1.4%,103,
梦魇融合怪,3.9%,116,
森林向导,0.7%,36,
森林的援助,23.5%,126,
森然巨化,24.9%,181,
